Year	Month	Day	Hour	SWC_5cm
2019	11	8	10	0.283944609
2019	11	8	11	0.303129535
2019	11	8	12	0.30033038
2019	11	8	13	0.298497787
2019	11	8	14	0.293206852
2019	11	8	15	0.289369214
2019	11	8	16	0.285842446
2019	11	8	17	0.283752886
2019	11	8	18	0.281816504
2019	11	8	19	0.292668569
2019	11	8	20	0.30129096
2019	11	8	21	0.294088594
2019	11	8	22	0.289622369
2019	11	8	23	0.287998761
2019	11	9	0	0.297840915
2019	11	9	1	0.298231867
2019	11	9	2	0.294074188
2019	11	9	3	0.290254304
2019	11	9	4	0.287292104
2019	11	9	5	0.297594128
2019	11	9	6	0.302075539
2019	11	9	7	0.298667037
2019	11	9	8	0.30102908
2019	11	9	9	0.301802784
2019	11	9	10	0.296165919
2019	11	9	11	0.294155697
2019	11	9	12	0.290145784
2019	11	9	13	0.28746474
2019	11	9	14	0.298466283
2019	11	9	15	0.298015707
2019	11	9	16	0.30156632
2019	11	9	17	0.299123135
2019	11	9	18	0.293930843
2019	11	9	19	0.296147355
2019	11	9	20	0.305384057
2019	11	9	21	0.30211668
2019	11	9	22	0.297947209
2019	11	9	23	0.29393557
2019	11	10	0	0.291191157
2019	11	10	1	0.299427736
2019	11	10	2	0.299768454
2019	11	10	3	0.299185844
2019	11	10	4	0.296345032
2019	11	10	5	0.299528863
2019	11	10	6	0.303284723
2019	11	10	7	0.299253936
2019	11	10	8	0.295658769
2019	11	10	9	0.292158788
2019	11	10	10	0.289606657
2019	11	10	11	0.287834648
2019	11	10	12	0.28553694
2019	11	10	13	0.287186263
2019	11	10	14	0.29449587
2019	11	10	15	0.290465334
2019	11	10	16	0.288882178
2019	11	10	17	0.286302383
2019	11	10	18	0.284739716
2019	11	10	19	0.282799971
2019	11	10	20	0.282015675
2019	11	10	21	0.2806582
2019	11	10	22	0.279976936
2019	11	10	23	0.279083287
2019	11	11	0	0.278215054
2019	11	11	1	0.27758929
2019	11	11	2	0.27709014
2019	11	11	3	0.276337906
2019	11	11	4	0.275886211
2019	11	11	5	0.275407146
2019	11	11	6	0.274846628
2019	11	11	7	0.274843921
2019	11	11	8	0.274105112
2019	11	11	9	0.274443021
2019	11	11	10	0.273249258
2019	11	11	11	0.27247413
2019	11	11	12	0.270866329
2019	11	11	13	0.268884756
2019	11	11	14	0.267817949
2019	11	11	15	0.266515136
2019	11	11	16	0.266494596
2019	11	11	17	0.265709195
2019	11	11	18	0.264555969
2019	11	11	19	0.264558066
2019	11	11	20	0.264272855
2019	11	11	21	0.264132882
2019	11	11	22	0.264155794
2019	11	11	23	0.266313033
2019	11	12	0	0.275503615
2019	11	12	1	0.289323252
2019	11	12	2	0.295643008
2019	11	12	3	0.302155945
2019	11	12	4	0.306959304
2019	11	12	5	0.306420097
2019	11	12	6	0.299456522
2019	11	12	7	0.293121015
2019	11	12	8	0.291324869
2019	11	12	9	0.302792592
2019	11	12	10	0.304931762
2019	11	12	11	0.299090792
2019	11	12	12	0.296151099
2019	11	12	13	0.29408059
2019	11	12	14	0.289717193
2019	11	12	15	0.285905919
2019	11	12	16	0.283876086
2019	11	12	17	0.281451795
2019	11	12	18	0.279877047
2019	11	12	19	0.278639556
2019	11	12	20	0.278686152
2019	11	12	21	0.280639002
2019	11	12	22	0.287608224
2019	11	12	23	0.297879678
2019	11	13	0	0.303637176
2019	11	13	1	0.302323283
2019	11	13	2	0.299370564
2019	11	13	3	0.304243891
2019	11	13	4	0.305190204
2019	11	13	5	0.298863341
2019	11	13	6	0.29372271
2019	11	13	7	0.293539095
2019	11	13	8	0.293502213
2019	11	13	9	0.291648639
2019	11	13	10	0.292163806
2019	11	13	11	0.296211549
