DateTime_utc;SWC5_mean
01.07.2013 00:00;43.92
01.07.2013 01:00;43.9
01.07.2013 02:00;43.89
01.07.2013 03:00;43.88
01.07.2013 04:00;43.87
01.07.2013 05:00;43.85
01.07.2013 06:00;43.84
01.07.2013 07:00;43.82
01.07.2013 08:00;43.81
01.07.2013 09:00;43.78
01.07.2013 10:00;43.73
01.07.2013 11:00;43.68
01.07.2013 12:00;43.63
01.07.2013 13:00;43.58
01.07.2013 14:00;43.52
01.07.2013 15:00;43.46
01.07.2013 16:00;43.4
01.07.2013 17:00;43.34
01.07.2013 18:00;43.3
01.07.2013 19:00;43.25
01.07.2013 20:00;43.21
01.07.2013 21:00;43.19
01.07.2013 22:00;43.17
01.07.2013 23:00;43.16
02.07.2013 00:00;43.14
02.07.2013 01:00;43.13
02.07.2013 02:00;43.13
02.07.2013 03:00;43.11
02.07.2013 04:00;43.11
02.07.2013 05:00;43.1
02.07.2013 06:00;43.09
02.07.2013 07:00;43.08
02.07.2013 08:00;43.06
02.07.2013 09:00;43.03
02.07.2013 10:00;42.99
02.07.2013 11:00;42.94
02.07.2013 12:00;42.88
02.07.2013 13:00;42.83
02.07.2013 14:00;42.77
02.07.2013 15:00;42.71
02.07.2013 16:00;42.66
02.07.2013 17:00;42.6
02.07.2013 18:00;42.55
02.07.2013 19:00;42.51
02.07.2013 20:00;42.47
02.07.2013 21:00;42.44
02.07.2013 22:00;42.43
02.07.2013 23:00;42.41
03.07.2013 00:00;42.4
03.07.2013 01:00;42.4
03.07.2013 02:00;42.39
03.07.2013 03:00;42.38
03.07.2013 04:00;42.37
03.07.2013 05:00;42.36
03.07.2013 06:00;42.35
03.07.2013 07:00;42.34
03.07.2013 08:00;42.31
03.07.2013 09:00;42.29
03.07.2013 10:00;42.28
03.07.2013 11:00;42.25
03.07.2013 12:00;42.33
03.07.2013 13:00;42.37
03.07.2013 14:00;42.62
03.07.2013 15:00;42.71
03.07.2013 16:00;42.79
03.07.2013 17:00;43
03.07.2013 18:00;43.09
03.07.2013 19:00;43.12
03.07.2013 20:00;43.15
03.07.2013 21:00;43.15
03.07.2013 22:00;43.16
03.07.2013 23:00;43.14
04.07.2013 00:00;43.14
04.07.2013 01:00;43.12
04.07.2013 02:00;43.11
04.07.2013 03:00;43.1
04.07.2013 04:00;43.07
04.07.2013 05:00;43.06
04.07.2013 06:00;43.05
04.07.2013 07:00;43.02
04.07.2013 08:00;42.99
04.07.2013 09:00;42.97
04.07.2013 10:00;42.92
04.07.2013 11:00;42.87
04.07.2013 12:00;42.82
04.07.2013 13:00;42.76
04.07.2013 14:00;42.7
04.07.2013 15:00;42.66
04.07.2013 16:00;42.61
04.07.2013 17:00;42.56
04.07.2013 18:00;42.53
04.07.2013 19:00;42.49
04.07.2013 20:00;42.46
04.07.2013 21:00;42.43
04.07.2013 22:00;42.41
04.07.2013 23:00;42.4
05.07.2013 00:00;42.38
05.07.2013 01:00;42.37
05.07.2013 02:00;42.35
05.07.2013 03:00;42.34
05.07.2013 04:00;42.34
05.07.2013 05:00;42.34
05.07.2013 06:00;42.34
05.07.2013 07:00;42.32
05.07.2013 08:00;42.3
05.07.2013 09:00;42.27
05.07.2013 10:00;42.25
05.07.2013 11:00;42.22
05.07.2013 12:00;42.19
05.07.2013 13:00;42.15
05.07.2013 14:00;42.12
05.07.2013 15:00;42.1
05.07.2013 16:00;42.09
05.07.2013 17:00;42.07
05.07.2013 18:00;42.05
05.07.2013 19:00;42.02
05.07.2013 20:00;42.02
05.07.2013 21:00;42.04
05.07.2013 22:00;42.15
05.07.2013 23:00;42.19
06.07.2013 00:00;42.2
06.07.2013 01:00;42.2
06.07.2013 02:00;42.2
06.07.2013 03:00;42.2
06.07.2013 04:00;42.19
06.07.2013 05:00;42.2
06.07.2013 06:00;42.2
06.07.2013 07:00;42.19
06.07.2013 08:00;42.19
06.07.2013 09:00;42.2
06.07.2013 10:00;42.19
06.07.2013 11:00;42.18
06.07.2013 12:00;42.16
06.07.2013 13:00;42.14
06.07.2013 14:00;42.12
06.07.2013 15:00;42.12
06.07.2013 16:00;42.11
06.07.2013 17:00;42.11
06.07.2013 18:00;42.1
06.07.2013 19:00;42.1
06.07.2013 20:00;42.1
06.07.2013 21:00;42.12
06.07.2013 22:00;42.2
06.07.2013 23:00;42.23
07.07.2013 00:00;42.26
07.07.2013 01:00;42.28
07.07.2013 02:00;42.29
07.07.2013 03:00;42.29
07.07.2013 04:00;42.29
07.07.2013 05:00;42.3
07.07.2013 06:00;42.3
07.07.2013 07:00;42.3
07.07.2013 08:00;42.3
07.07.2013 09:00;42.3
07.07.2013 10:00;42.29
07.07.2013 11:00;42.3
07.07.2013 12:00;42.32
07.07.2013 13:00;42.32
07.07.2013 14:00;42.35
07.07.2013 15:00;42.49
07.07.2013 16:00;42.59
07.07.2013 17:00;42.64
07.07.2013 18:00;42.71
07.07.2013 19:00;42.78
07.07.2013 20:00;42.81
07.07.2013 21:00;42.84
07.07.2013 22:00;42.86
07.07.2013 23:00;42.86
08.07.2013 00:00;42.88
08.07.2013 01:00;42.9
08.07.2013 02:00;42.94
08.07.2013 03:00;43.01
08.07.2013 04:00;43.12
08.07.2013 05:00;43.21
08.07.2013 06:00;43.33
08.07.2013 07:00;43.46
08.07.2013 08:00;43.61
08.07.2013 09:00;43.82
08.07.2013 10:00;44.07
08.07.2013 11:00;44.21
08.07.2013 12:00;44.43
08.07.2013 13:00;44.63
08.07.2013 14:00;44.7
08.07.2013 15:00;44.74
08.07.2013 16:00;44.83
08.07.2013 17:00;44.88
08.07.2013 18:00;44.92
08.07.2013 19:00;44.9
08.07.2013 20:00;44.94
08.07.2013 21:00;45.01
08.07.2013 22:00;45.1
08.07.2013 23:00;45.26
09.07.2013 00:00;45.41
09.07.2013 01:00;45.43
09.07.2013 02:00;45.4
09.07.2013 03:00;45.37
09.07.2013 04:00;45.36
09.07.2013 05:00;45.32
09.07.2013 06:00;45.28
09.07.2013 07:00;45.25
09.07.2013 08:00;45.24
09.07.2013 09:00;45.18
09.07.2013 10:00;45.12
09.07.2013 11:00;45.08
09.07.2013 12:00;45.03
09.07.2013 13:00;44.97
09.07.2013 14:00;44.91
09.07.2013 15:00;44.86
09.07.2013 16:00;44.79
09.07.2013 17:00;44.74
09.07.2013 18:00;44.7
09.07.2013 19:00;44.67
09.07.2013 20:00;44.63
09.07.2013 21:00;44.6
09.07.2013 22:00;44.57
09.07.2013 23:00;44.54
10.07.2013 00:00;44.53
10.07.2013 01:00;44.51
