Year	Month	Day	Hour	SWC_15cm	Abs_Humidity	Rainfall	air_T
2016	3	22	16	0.4817	0.008318805	0.1	20.79
2016	3	22	17	0.4823	0.007066927	0	21.73
2016	3	22	18	0.4819	0.006882404	0	21.9
2016	3	22	19	0.4820	0.007178598	0	21.24
2016	3	22	20	0.4819	0.009097909	0	19.57
2016	3	22	21	0.4817	0.00831637	0	21.15
2016	3	22	22	0.4814	0.007916294	0	21.61
2016	3	22	23	0.4809	0.010104932	0	19.42
2016	3	23	0	0.4805	0.012516799	0	17.38
2016	3	23	1	0.4799	0.011471283	0	17.51
2016	3	23	2	0.4796	0.010773074	0	16.83
2016	3	23	3	0.4788	0.010868347	0	16.48
2016	3	23	4	0.4782	0.011265428	0	16.23
2016	3	23	5	0.4777	0.017528648	0.1	13.99
2016	3	23	6	0.4773	0.019866246	2.079	12.65
2016	3	23	7	0.4768	0.021494067	0	11.14
2016	3	23	8	0.4771	0.019928595	0.5	11.88
2016	3	23	9	0.4786	0.023657343	2.673	10.1
2016	3	23	10	0.5129	0.023966461	2.376	9.78
2016	3	23	11	0.5496	0.023895362	7.227	9.26
2016	3	23	12	0.5558	0.024466543	6.237	8.97
2016	3	23	13	0.5534	0.025003073	2.178	9.14
2016	3	23	14	0.5495	0.024358004	0.79	9.73
2016	3	23	15	0.5469	0.02399427	0.3	10.18
2016	3	23	16	0.5463	0.022757491	0.2	10.86
2016	3	23	17	0.5445	0.020117636	0	12.62
2016	3	23	18	0.5407	0.021323199	0	11.62
2016	3	23	19	0.5384	0.023465358	0	9.77
2016	3	23	20	0.5365	0.024796819	0	9.18
2016	3	23	21	0.5352	0.024753033	0	9.09
2016	3	23	22	0.5371	0.024305995	1.089	9.15
2016	3	23	23	0.5528	0.025585524	2.97	8.56
2016	3	24	0	0.5524	0.02628325	0.79	8.31
2016	3	24	1	0.5493	0.026638642	0.2	8.22
2016	3	24	2	0.5490	0.026991968	0.89	8.02
2016	3	24	3	0.5511	0.028026957	0.69	7.489
2016	3	24	4	0.5500	0.028844355	0.5	7.057
2016	3	24	5	0.5478	0.028563886	0.1	7.014
2016	3	24	6	0.5452	0.027569618	0.2	6.97
2016	3	24	7	0.5442	0.028282078	0.2	6.575
2016	3	24	8	0.5436	0.02315436	0.2	7.257
2016	3	24	9	0.5419	0.020466877	0	7.998
2016	3	24	10	0.5388	0.018975335	0	8.57
