;StationID;CutoffRigidity;sites_Precip;sites_Temperature;Bulkdensity;Altitude;beta;beta_sd;beta_mae;beta_rmse;beta_oulu;beta_apty;beta_lmks;beta_mxco;beta_athens;omega;omega_sd;omega_oulu;omega_apty;omega_mxco;omega_athens;omega_lmks;omega_mae;omega_rmse;psi;psi_sd;psi_oulu;psi_apty;psi_athens;psi_mxco;psi_lmks;psi_mae;psi_rmse;BetaDesilets;mean_P;mean_N;number_of_days_for_regression;Desilets_beta_eff;Desilets_beta
0;AAC001;1.21;1240;6.2;1.029;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ACC001;4.15;1805;7.0;0.853;867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;AGCK003;7.17;1003;12.5;1.258;1032;-0.00719960442975683;0.00030141172443856336;-0.007210164090132988;-0.00719960442975683;-0.00712545414304983;-0.00712764975446598;-0.007126383581264281;-0.007148714124754017;-0.007074586520629195;-0.0030629148677161497;0.0007066911449065224;-0.002939066497667172;-0.0029413122148206437;-0.0029206647122270693;-0.002748389662848544;-0.0030027077025696165;-0.003279785069349336;-0.0030629148677161497;0.2264674391599289;0.23693474262495184;0.29233795981713484;0.21430934767386767;0.5725677253476971;0.5652797104805071;0.06796155211720795;0.11007247168879515;0.2264674391599289;;898.6285035732141;1460.0560637929839;1486.0;-0.007172622287000667;-0.007243425135309359
3;ALC001;6.87;1255;13.6;0.858;671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;ALC002;6.87;1215;15.4;1.126;453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;BBC001;3.1;986;8.9;1.037;571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;BOC001;3.07;1071;10.8;1.276;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;BUC001;4.72;792;12.6;1.23;625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;CAC001;7.36;525;16.6;1.177;785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;CAC002;7.36;525;16.6;1.252;789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;CBC001;8.37;338;9.8;1.482;1459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;CRC001;4.9;900;7.5;1.612;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;CUC001;2.94;868;10.5;1.491;140;-0.005624422900310807;0.003857063112367387;-0.007660499086084313;-0.005624422900310807;-0.005579864532402829;-0.005672328304951516;-0.005430890202718257;-0.005604336264431191;-0.005627389965955797;0.000979397984930387;0.006078072487949691;0.0009464963396055889;0.0008948237248506969;0.0009074974848135726;0.0008125820853804633;0.0013824431048485724;-0.0016354822836742028;0.000979397984930387;0.04867025005109355;0.6828410748474132;1.1109421198539375;-0.879760946756139;1.9;0.7000330728784088;1.3022428602330234;0.17994691554351575;0.04867025005109355;;1002.2740535282417;398.15446459770106;1842.0;-0.007291011807413111;-0.007301519160544849
13;DEC001;2.79;550;7.5;1.43;129;-0.007540883374002302;0.0002231833378420586;-0.007577497765035325;-0.007540883374002302;-0.00740664034847807;-0.007400114380735596;-0.007430257140946234;-0.007440727529006711;-0.00744528960480318;-0.0030788847000835667;0.0008525444978654521;-0.003027350811834268;-0.0030393516525345577;-0.00298600303108068;-0.002885129041208562;-0.0029967617554282045;-0.0035154573236415246;-0.0030788847000835667;0.4399835416769479;0.2193131701436389;0.7651815699856338;0.679862982771514;0.9672113660942093;1.115344951584617;0.4745282476969632;0.4962312203360191;0.4399835416769479;;1003.1294481508253;532.6704079963025;2567.0;-0.007290908468763665;-0.0073008386651147155
14;ELC001;1.61;800;12.0;0.997;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;ESC001;4.25;2062;4.3;0.567;1267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;EUC001;2.69;600;10.0;1.214;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;FEC001;4.08;1630;8.4;0.725;595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;FIC001;2.65;613;10.5;1.283;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;FSC001;2.51;580;9.7;1.135;66;-0.007265656384643986;0.0001600744685216052;-0.007256664857066566;-0.007265656384643986;-0.00719687238040921;-0.0071686223242352146;-0.007177929574891461;-0.0072403731266979235;-0.007260559112148521;-0.0006746774643473086;0.0010695275402291843;-0.0005249115938113112;-0.0005411020952207935;-0.0006183696640802056;-0.0005939682693732791;-0.0004472660020548701;-0.0006367679462794838;-0.0006746774643473086;0.1952335811184023;0.24591343315779976;0.7854653913790272;0.7067059179659673;0.8709708969002041;0.6608149950158548;0.42848243803009906;0.20615981049627646;0.1952335811184023;;1008.6873001146671;482.58771892765446;1675.0;-0.007285251050917121;-0.007290221016398326
20;GBC001;2.85;845;9.9;1.176;80;-0.007470737982250457;0.00022928371877245778;-0.007428776811103954;-0.007470737982250457;-0.007427010195459895;-0.007420697180879641;-0.007389706226146341;-0.007433991688150635;-0.007453282272781318;-0.0028285755281323337;0.0015637058648420518;-0.0026971571655243394;-0.002696120716180982;-0.002639561172729004;-0.0030224908362597447;-0.002557693158670799;-0.0034170527640593933;-0.0028285755281323337;0.4106592840552589;0.2978690053445399;0.8870061369997534;0.6682603807577655;0.8723104169490826;0.851737336412878;0.4481567748389398;0.49935018252480295;0.4106592840552589;;1006.7401973692249;336.2211100962552;2544.0;-0.007287310265367344;-0.007293861550078833
21;GLC001;1.87;1050;8.2;0.814;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;GRC001;4.23;1948;5.4;0.69;863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;GSC001;1.59;1109;7.0;0.356;399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;HAC001;1.87;1050;8.2;0.873;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;HDC001;2.87;818;10.0;1.278;82;-0.007568964147281877;0.00022932812848851475;-0.007426420326651253;-0.007568964147281877;-0.00753361358289951;-0.0075315887542031865;-0.007511227629636696;-0.007553455005570147;-0.007554392444321813;-0.0023253969545320003;0.0010945795327672462;-0.002316217532711085;-0.0022513567373132148;-0.002378681932725634;-0.002254973789695896;-0.0021275419994753204;-0.001804990711880165;-0.0023253969545320003;0.2658272883557859;0.21815455575038176;0.6378868147220488;0.40992400307648724;0.931333991631611;1.1953597051985108;0.35396844338305994;0.4948979124032443;0.2658272883557859;;1006.923370636173;393.7928911363085;1724.0;-0.007287060308656091;-0.007293429268117939
26;HGC001;2.97;582;7.6;1.282;405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;HHC001;2.5;580;9.7;1.014;96;-0.007665669002977322;0.0001390203009621953;-0.007563381256600024;-0.007665669002977322;-0.007608870767588559;-0.007622375774294434;-0.007605141422995822;-0.007640368816862758;-0.007640985564791438;-0.0019919795305079393;0.0007287712917159043;-0.0017654548077577009;-0.0017881981106504523;-0.0018859174901061408;-0.001833494525766721;-0.0016998692364640737;-0.002102968166251754;-0.0019919795305079393;0.38615257390194807;0.1600976138095015;0.5196045176970312;0.30119662118385837;0.5157813527645144;0.849696878634516;0.2416653114158877;0.3621463495286864;0.38615257390194807;;1007.1124842513758;625.3908195304491;1463.0;-0.007286752460948423;-0.007293257685243425
